 152968 70511 259220.749   45 1673 259229.258 255113.555  1.59%  48.8  301s
 156605 72596 258421.405   75  734 259229.258 255137.239  1.58%  49.1  306s
 160186 74623 258542.477   41 1662 259229.258 255163.326  1.57%  49.2  311s
 163629 76647 256521.586   38 1669 259229.258 255185.613  1.56%  49.4  316s
 167133 78649 257165.408   44 1545 259229.258 255210.434  1.55%  49.6  320s
 170919 80723 257507.861   60  526 259229.258 255235.033  1.54%  49.6  326s
 174358 82645 258697.937   60  616 259229.258 255255.552  1.53%  49.7  330s
 177650 84521 257398.566   50 1432 259229.258 255278.152  1.52%  49.9  335s
 180996 86559     cutoff   62      259229.258 255303.090  1.51%  50.1  340s
 184599 88760 257441.289   36 1759 259229.258 255318.278  1.51%  50.1  346s
 188322 90726     cutoff   79      259229.258 255338.595  1.50%  50.2  351s
 191940 92903 256051.283   45 1323 259229.258 255356.483  1.49%  50.3  356s
 195670 95187 257523.541   49 1059 259229.258 255371.715  1.49%  50.4  360s
 199512 97713 258792.832   64 1452 259229.258 255386.403  1.48%  50.3  365s
 203583 99966     cutoff   66      259229.258 255402.922  1.48%  50.4  371s
 205947 101445 256402.222   46 1602 259229.258 255412.659  1.47%  50.5  375s
 209732 103740 257679.934   56 1013 259229.258 255424.739  1.47%  50.6  380s
 213440 105747 257655.379   46 1508 259229.258 255441.758  1.46%  50.7  385s
 217393 108408 256008.791   45 1194 259229.258 255453.789  1.46%  50.8  391s
 221434 110550 257815.148   58 1387 259229.258 255467.998  1.45%  50.9  396s
 225184 112947 257680.236   49 1556 259229.258 255481.439  1.45%  50.9  401s
 227656 114373 256167.910   47 1150 259229.258 255491.080  1.44%  51.0  405s
 231528 116977 258443.259   61 1528 259229.258 255503.719  1.44%  51.1  410s
 235750 119372 258920.442   76 1063 259229.258 255518.852  1.43%  51.1  416s
 239433 121709 257255.513   45 1448 259229.258 255532.852  1.43%  51.2  421s
 243458 124118 256558.963   43  882 259229.258 255545.566  1.42%  51.2  426s
 247139 126187 259184.895   83  667 259229.258 255560.590  1.42%  51.3  431s
 250798 128539 257360.252   50 1161 259229.258 255571.972  1.41%  51.4  437s
 253462 129966 256414.030   43 1561 259229.258 255581.821  1.41%  51.5  440s
 257356 132500 256496.883   48 1089 259229.258 255596.103  1.40%  51.5  445s
 261333 134974 256448.743   55 1519 259229.258 255610.497  1.40%  51.5  451s
 265491 137064 258561.152   54  971 259229.258 255620.615  1.39%  51.6  456s
 268570 138647 259104.580   63 1212 259229.258 255629.123  1.39%  51.6  460s
 272283 140863     cutoff   44      259229.258 255640.018  1.38%  51.7  465s
H273486 120982                    258842.89996 255642.573  1.24%  51.7  467s
 274913 121877 257744.619   53 1102 258842.900 255650.386  1.23%  51.8  471s
H275033 121877                    258842.89992 255650.386  1.23%  51.8  471s
H275074 121877                    258842.89975 255650.386  1.23%  51.8  471s
H276541 122815                    258842.89951 255657.189  1.23%  51.8  474s
H276721 122814                    258842.89719 255657.189  1.23%  51.8  474s
 276815 123629 256502.883   45 1223 258842.897 255657.462  1.23%  51.8  476s
 278542 124564     cutoff   38      258842.897 255663.552  1.23%  51.9  480s
 283020 127044 257313.847   50 1473 258842.897 255677.224  1.22%  52.0  486s
 286150 128614 258654.113   87  417 258842.897 255687.101  1.22%  52.0  490s
 289997 130629 258161.355   42 1236 258842.897 255698.865  1.21%  52.2  496s
 292719 131824     cutoff   46      258842.897 255709.682  1.21%  52.2  500s
 296663 133946 257431.377   52 1166 258842.897 255720.273  1.21%  52.4  506s
 300817 135989 258346.475   56 1308 258842.897 255733.308  1.20%  52.5  512s
 303613 137488 258073.931   62 1118 258842.897 255744.062  1.20%  52.6  516s
 306525 139066 256238.241   46 1487 258842.897 255753.532  1.19%  52.7  520s
 310922 141204 257071.219   48 1432 258842.897 255766.811  1.19%  52.9  526s
 313805 142566 257181.189   47 1182 258842.897 255775.247  1.19%  53.0  530s
 318112 144995 256733.321   49 1105 258842.897 255787.712  1.18%  53.1  536s
 321248 146528     cutoff   92      258842.897 255796.100  1.18%  53.1  540s
 324122 148009 258662.134   60 1050 258842.897 255803.017  1.17%  53.3  545s
 328389 149525 258067.719   44 1158 258842.897 255812.460  1.17%  53.4  560s
H328394 126785                    258533.37251 255812.460  1.05%  53.4  560s
H329958 127719                    258533.37247 255817.567  1.05%  53.5  564s
H329999 127719                    258533.37115 255817.703  1.05%  53.5  564s
 330310 128477 258398.310   65 1325 258533.371 255819.008  1.05%  53.5  566s
 332178 129369 257911.598   51 1371 258533.371 255824.789  1.05%  53.6  571s
 335482 130923 256731.458   53 1544 258533.371 255834.015  1.04%  53.7  576s
 338765 132449 258494.795   41 1659 258533.371 255843.197  1.04%  53.8  581s
 341883 133768     cutoff   58      258533.371 255851.473  1.04%  53.9  585s
 346341 135672 258409.539   51 1058 258533.371 255864.478  1.03%  54.1  591s
 349362 137046 257118.247   46 1024 258533.371 255872.573  1.03%  54.2  596s
 352416 138394 258171.797   48 1444 258533.371 255880.354  1.03%  54.3  601s
 355587 139711     cutoff   41      258533.371 255888.040  1.02%  54.4  605s
 360129 141750 258401.978   57 1419 258533.371 255900.502  1.02%  54.5  611s
 363192 143047 256501.595   45 1470 258533.371 255907.119  1.02%  54.6  616s
 366236 144475     cutoff   57      258533.371 255914.431  1.01%  54.7  620s
 369416 145899 257533.111   50 1524 258533.371 255920.890  1.01%  54.8  625s
 374316 148053 258250.668   51 1368 258533.371 255933.454  1.01%  54.9  631s
 377232 149341 258099.273   55 1166 258533.371 255940.864  1.00%  55.0  636s
 380485 150743 257881.889   57  905 258533.371 255948.384  1.00%  55.1  640s
 383637 151919 256543.057   46 1363 258533.371 255955.324  1.00%  55.2  645s
 386660 153442 256100.040   41 1287 258533.371 255961.802  0.99%  55.3  650s
 391343 155402 infeasible   55      258533.371 255972.121  0.99%  55.4  656s
 394407 156716 258425.199   49 1562 258533.371 255978.126  0.99%  55.5  661s
 397561 158040 257692.381   54 1405 258533.371 255984.282  0.99%  55.6  665s
 400592 159354 257279.239   51 1166 258533.371 255990.480  0.98%  55.6  670s
 403764 160618 257439.647   51 1416 258533.371 255997.868  0.98%  55.7  675s
 408578 162597     cutoff   69      258533.371 256006.775  0.98%  55.8  681s
 411592 163959 257091.780   53  993 258533.371 256012.943  0.97%  55.9  685s
 414675 165313 258232.111   46 1195 258533.371 256018.803  0.97%  55.9  690s
 419346 167179 256973.134   48 1188 258533.371 256028.073  0.97%  56.1  697s
 422570 168571 257237.515   51  909 258533.371 256034.577  0.97%  56.1  702s
 425638 169838 257867.934   60  721 258533.371 256040.955  0.96%  56.2  706s
 428959 171263 257835.087   59 1417 258533.371 256047.722  0.96%  56.3  711s
 432131 172593 256702.891   50 1195 258533.371 256053.719  0.96%  56.3  715s
 436810 174565 256376.811   43 1142 258533.371 256062.109  0.96%  56.4  722s
 440105 175907 257018.991   40 1576 258533.371 256067.677  0.95%  56.5  727s
 443121 177259 258512.724   61 1081 258533.371 256073.005  0.95%  56.5  731s
 446200 178511 257379.079   39 1568 258533.371 256078.995  0.95%  56.6  735s
 449336 179917 257494.361   52 1158 258533.371 256086.014  0.95%  56.6  740s
 453853 181704     cutoff   70      258533.371 256093.647  0.94%  56.7  746s
 457131 183114 257868.391   58 1309 258533.371 256099.457  0.94%  56.8  751s
 460196 184469 257586.025   54 1518 258533.371 256104.793  0.94%  56.8  756s
 463251 185795 257608.286   56 1421 258533.371 256109.605  0.94%  56.9  760s
 467917 187793 257031.269   52 1229 258533.371 256117.298  0.93%  56.9  766s
 471092 189223 infeasible   51      258533.371 256123.120  0.93%  57.0  771s
 474453 190575 258433.273   65  927 258533.371 256129.064  0.93%  57.0  775s
 477485 191759     cutoff   52      258533.371 256134.522  0.93%  57.0  780s
 481986 193761     cutoff   50      258533.371 256140.294  0.93%  57.1  786s
 485151 195035     cutoff   53      258533.371 256145.411  0.92%  57.1  790s
 488137 196337 257517.206   54 1375 258533.371 256150.157  0.92%  57.2  795s
 492879 198283 257558.315   52 1556 258533.371 256158.182  0.92%  57.2  802s
 495773 199578 258449.043   50  992 258533.371 256163.489  0.92%  57.3  806s
 498969 200791 257730.731   59  878 258533.371 256169.424  0.91%  57.3  810s
 503543 202509 258293.448   55 1240 258533.371 256176.305  0.91%  57.4  816s
 506650 203676 257952.327   47 1339 258533.371 256180.602  0.91%  57.4  822s
H508206 203774                    258533.37090 256182.665  0.91%  57.4  826s
 510782 204961 258168.270   66 1129 258533.371 256186.951  0.91%  57.5  831s
H510797 204960                    258533.36827 256186.951  0.91%  57.5  831s
 513216 206034     cutoff   58      258533.368 256190.505  0.91%  57.5  836s
 516165 207716 258440.918   70  680 258533.368 256195.022  0.90%  57.5  842s
 519973 209177 258014.758   54 1299 258533.368 256200.876  0.90%  57.5  847s
 523487 210351 257099.062   46 1487 258533.368 256206.800  0.90%  57.6  852s
 525496 211380 258399.616   84  496 258533.368 256209.751  0.90%  57.6  856s
 529362 212720 258107.106   61  849 258533.368 256215.659  0.90%  57.7  861s
 532644 214008 258046.363   57 1483 258533.368 256220.981  0.89%  57.7  866s
 535963 215265 258121.502   62  986 258533.368 256224.960  0.89%  57.7  870s
 539153 216345     cutoff   59      258533.368 256230.215  0.89%  57.8  875s
 543893 218190     cutoff   52      258533.368 256237.808  0.89%  57.8  882s
 546892 219363     cutoff   48      258533.368 256242.197  0.89%  57.9  886s
 549974 220462     cutoff   50      258533.368 256246.764  0.88%  57.9  890s
 553078 221699 258027.513   53  910 258533.368 256251.434  0.88%  58.0  895s
 557786 223579 256722.695   47 1612 258533.368 256258.314  0.88%  58.0  902s
 560972 224840 257092.751   50 1502 258533.368 256262.699  0.88%  58.0  906s
 564011 226046 258441.783   61  891 258533.368 256265.910  0.88%  58.1  911s
 567105 227096 257952.880   56 1545 258533.368 256269.974  0.88%  58.1  915s
 571624 228816 256914.493   51 1389 258533.368 256276.646  0.87%  58.1  922s
 574650 230201     cutoff   51      258533.368 256281.141  0.87%  58.2  926s
 577861 231464 258422.338   60 1041 258533.368 256285.586  0.87%  58.2  931s
 580966 232543 257624.760   45 1275 258533.368 256290.220  0.87%  58.2  935s
 585546 234262 258034.143   43 1468 258533.368 256296.224  0.87%  58.3  942s
 588600 235462 257486.199   53  785 258533.368 256300.580  0.86%  58.3  946s
 591966 236746 258008.267   56 1139 258533.368 256304.424  0.86%  58.3  951s
 595182 237870 257878.882   50 1049 258533.368 256308.270  0.86%  58.3  955s
 599872 239546 256917.988   51 1008 258533.368 256314.259  0.86%  58.4  962s
 603091 240744 257873.685   80  562 258533.368 256318.186  0.86%  58.4  966s
 606295 241936 257589.721   52 1395 258533.368 256322.166  0.86%  58.4  970s
 609414 243041 257350.881   52 1245 258533.368 256326.012  0.85%  58.5  975s
 612599 244192     cutoff   57      258533.368 256330.421  0.85%  58.5  980s
 617077 245720 257010.258   55 1486 258533.368 256335.663  0.85%  58.5  986s
 620220 246903 256944.338   47 1139 258533.368 256338.926  0.85%  58.6  990s
 623284 248039 257330.814   52 1159 258533.368 256342.420  0.85%  58.6  995s
 626480 249212     cutoff   58      258533.368 256346.573  0.85%  58.6 1000s
 631159 251117 257371.734   45 1567 258533.368 256352.021  0.84%  58.6 1006s
 634296 252306 257098.145   50 1111 258533.368 256355.701  0.84%  58.6 1010s
 637377 253543 258191.201   49 1383 258533.368 256359.491  0.84%  58.6 1015s
 642060 255297 258373.221   65 1037 258533.368 256365.302  0.84%  58.7 1021s
 645252 256399 258367.289   55 1171 258533.368 256369.225  0.84%  58.7 1026s
 648457 257612     cutoff   69      258533.368 256373.263  0.84%  58.7 1030s
 653026 259324 257781.150   61  781 258533.368 256379.237  0.83%  58.8 1036s
 656006 260391 258247.254   58 1352 258533.368 256382.530  0.83%  58.8 1041s
 659133 261589 257774.296   58 1284 258533.368 256385.621  0.83%  58.8 1045s
 662179 262751 258211.371   48  987 258533.368 256388.708  0.83%  58.8 1050s
 666998 264533     cutoff   53      258533.368 256393.615  0.83%  58.9 1056s
 670106 265568 257676.019   51 1049 258533.368 256396.748  0.83%  58.9 1061s
 673247 266744 257928.724   47 1173 258533.368 256400.157  0.83%  58.9 1065s
 677775 268355 258035.179   54 1073 258533.368 256404.850  0.82%  58.9 1072s
 680900 269522     cutoff   49      258533.368 256407.797  0.82%  59.0 1076s
 684130 270633 258254.498   54 1506 258533.368 256411.041  0.82%  59.0 1081s
 687341 271814 258426.014   47 1385 258533.368 256414.087  0.82%  59.0 1085s
 692024 273429     cutoff   52      258533.368 256419.106  0.82%  59.0 1091s
 694926 274580     cutoff   48      258533.368 256422.424  0.82%  59.1 1096s
 698209 275687 256994.331   49 1599 258533.368 256425.728  0.82%  59.1 1100s
 702859 277434 258405.593   48 1366 258533.368 256430.239  0.81%  59.1 1106s
 705934 278438 257861.331   56 1220 258533.368 256433.213  0.81%  59.1 1111s
 709002 279496 258114.511   61  983 258533.368 256436.711  0.81%  59.1 1115s
 712066 280713 258059.448   50 1210 258533.368 256439.273  0.81%  59.1 1120s
 716718 282414     cutoff   58      258533.368 256444.009  0.81%  59.2 1126s
 719926 283240 258221.365   73  557 258533.368 256447.049  0.81%  59.2 1130s
 723955 284936 258414.921   53 1422 258533.368 256450.693  0.81%  59.2 1136s
 727170 285964 257311.760   52 1146 258533.368 256454.107  0.80%  59.2 1141s
 730420 287180 257337.246   38 1513 258533.368 256457.237  0.80%  59.2 1146s
 733452 288279 258313.324   71  624 258533.368 256459.908  0.80%  59.2 1150s
 736611 289411     cutoff   59      258533.368 256463.028  0.80%  59.2 1155s
 741131 291035 256675.218   41 1553 258533.368 256467.077  0.80%  59.3 1161s
 744217 292020 256750.929   45 1255 258533.368 256469.117  0.80%  59.3 1166s
 747217 292972 257807.280   50 1424 258533.368 256472.177  0.80%  59.3 1171s
 750329 294078 256844.669   44 1576 258533.368 256475.010  0.80%  59.3 1175s
 753534 295077 258425.090   59 1082 258533.368 256478.228  0.79%  59.4 1180s
 758357 296628     cutoff   57      258533.368 256482.698  0.79%  59.4 1186s
 761468 297661     cutoff   59      258533.368 256485.565  0.79%  59.4 1191s
 764660 298235 258286.591   60  854 258533.368 256488.414  0.79%  59.4 1197s
 766461 299367 258403.112   69 1097 258533.368 256489.949  0.79%  59.5 1202s
 769776 300471 257956.043   41 1519 258533.368 256492.906  0.79%  59.5 1206s
 773012 301498 258297.538   55 1405 258533.368 256495.911  0.79%  59.5 1211s
 776042 302642 257287.787   55 1385 258533.368 256498.371  0.79%  59.5 1215s
 780606 304340     cutoff   51      258533.368 256502.640  0.79%  59.6 1222s
 783805 305456 258071.100   55 1410 258533.368 256505.681  0.78%  59.6 1226s
 786781 306605     cutoff   42      258533.368 256507.478  0.78%  59.6 1230s
 788304 306611 258089.094   50 1275 258533.368 256508.929  0.78%  59.6 1241s
 789886 307593 257004.975   46 1581 258533.368 256510.241  0.78%  59.6 1245s
 794661 309350 257182.754   44 1238 258533.368 256514.443  0.78%  59.6 1252s
 797846 310532 257953.062   54 1362 258533.368 256517.104  0.78%  59.6 1256s
 801072 311550 256757.851   56  916 258533.368 256519.939  0.78%  59.7 1260s
 804098 312630 257412.160   51 1186 258533.368 256522.919  0.78%  59.7 1265s
 808762 313884 258231.397   54 1323 258533.368 256526.630  0.78%  59.7 1272s
 810893 315040 257228.447   51 1183 258533.368 256528.500  0.78%  59.7 1277s
 814109 316186 257274.404   55 1376 258533.368 256531.150  0.77%  59.7 1282s
 817332 317195     cutoff   39      258533.368 256534.033  0.77%  59.7 1286s
 820307 318247 258131.975   54 1354 258533.368 256536.391  0.77%  59.8 1290s
 823484 319376     cutoff   55      258533.368 256538.762  0.77%  59.8 1295s
 827999 321083 257975.106   54 1441 258533.368 256542.565  0.77%  59.8 1301s
 831138 322219 257917.392   49 1371 258533.368 256545.214  0.77%  59.8 1306s
 834330 323302 257939.130   58 1058 258533.368 256547.408  0.77%  59.8 1310s
 838853 324855     cutoff   46      258533.368 256551.055  0.77%  59.8 1317s
 841988 325826 257988.983   58 1329 258533.368 256553.761  0.77%  59.8 1321s
 845110 326970 257536.944   48 1324 258533.368 256556.047  0.76%  59.9 1325s
 848133 328120 257554.692   56 1695 258533.368 256558.880  0.76%  59.9 1330s
 851351 329102     cutoff   55      258533.368 256561.326  0.76%  59.9 1335s
 855693 330732 258529.267   53 1384 258533.368 256564.578  0.76%  59.9 1341s
 858836 331849 258340.668   55 1264 258533.368 256567.278  0.76%  59.9 1345s
 861926 333017 257341.859   51 1410 258533.368 256569.483  0.76%  60.0 1350s
 865002 334199 258088.436   59  818 258533.368 256571.515  0.76%  60.0 1355s
 869760 335817 257392.991   60  836 258533.368 256575.204  0.76%  60.0 1361s
 872815 336766 258379.233   45 1037 258533.368 256577.357  0.76%  60.0 1365s
 875993 337993 257845.937   53 1490 258533.368 256579.859  0.76%  60.0 1370s
 880471 339338     cutoff   51      258533.368 256582.859  0.75%  60.0 1376s
 883514 340546     cutoff   58      258533.368 256585.237  0.75%  60.1 1381s
 886657 341645 infeasible   56      258533.368 256587.719  0.75%  60.1 1385s
 889677 342633 258044.755   52 1103 258533.368 256590.017  0.75%  60.1 1390s
 894286 344210 257981.091   52 1185 258533.368 256593.487  0.75%  60.1 1457s
 895894 344724 258311.679   55 1470 258533.368 256594.600  0.75%  60.1 1460s
 900782 346313 infeasible   58      258533.368 256598.016  0.75%  60.1 1467s
 903793 347265 258059.561   37 1758 258533.368 256599.942  0.75%  60.2 1471s
 906862 348200 257844.768   55 1207 258533.368 256602.150  0.75%  60.2 1475s
 911247 349824     cutoff   82      258533.368 256605.198  0.75%  60.2 1481s
 914451 350952 257097.596   50 1614 258533.368 256607.638  0.74%  60.2 1486s
 917621 352008 258220.546   66  949 258533.368 256609.697  0.74%  60.2 1490s
 920629 353003 257543.876   44 1480 258533.368 256611.683  0.74%  60.2 1495s
 925183 354465     cutoff   45      258533.368 256615.281  0.74%  60.2 1501s
 928200 355510     cutoff   47      258533.368 256617.219  0.74%  60.3 1505s
 931431 356495 258093.810   49 1484 258533.368 256619.948  0.74%  60.3 1510s
 934581 357658 257775.703   60  937 258533.368 256622.161  0.74%  60.3 1515s
 939148 359065 257712.038   63 1440 258533.368 256625.398  0.74%  60.3 1521s
 942191 360066     cutoff   55      258533.368 256627.901  0.74%  60.3 1525s
 946686 361638 infeasible   68      258533.368 256630.994  0.74%  60.3 1532s
 949642 362683 infeasible   52      258533.368 256632.806  0.74%  60.4 1537s
 952823 363677     cutoff   57      258533.368 256634.927  0.73%  60.4 1541s
 955826 364672 258367.343   60 1442 258533.368 256637.000  0.73%  60.4 1545s
 960283 366110     cutoff   54      258533.368 256639.860  0.73%  60.4 1551s
 963432 367269     cutoff   69      258533.368 256642.254  0.73%  60.4 1556s
 966580 368217 257257.116   45 1515 258533.368 256644.146  0.73%  60.4 1561s
 969768 369167 infeasible   54      258533.368 256646.555  0.73%  60.4 1565s
 974397 370599 256874.846   50 1177 258533.368 256649.496  0.73%  60.4 1572s
 977502 371541 256899.911   46 1141 258533.368 256651.705  0.73%  60.5 1576s
 980675 372479 257303.199   54 1260 258533.368 256654.238  0.73%  60.5 1580s
 983668 373467 257771.979   48 1271 258533.368 256656.167  0.73%  60.5 1585s
 988461 375150 258303.965   61  674 258533.368 256659.134  0.72%  60.5 1591s
 991557 376042 258402.554   58  877 258533.368 256661.090  0.72%  60.5 1595s
 994677 377091 258387.782   57 1205 258533.368 256663.274  0.72%  60.5 1600s
 999204 378601 257952.676   50 1309 258533.368 256666.441  0.72%  60.5 1606s
 1002264 379560 257442.531   58 1007 258533.368 256668.496  0.72%  60.5 1611s
 1005389 380187 257714.213   53 1019 258533.368 256670.530  0.72%  60.6 1619s
H1005716 380187                    258533.36823 256670.530  0.72%  60.6 1619s
 1005717 380833 257735.380   54 1012 258533.368 256670.592  0.72%  60.6 1622s
 1008270 381744     cutoff   55      258533.368 256672.829  0.72%  60.6 1627s
 1011918 382869 257296.733   54 1070 258533.368 256675.140  0.72%  60.6 1632s
 1015522 383991 257483.059   47 1414 258533.368 256677.338  0.72%  60.6 1637s
 1018879 385015 257365.378   52 1082 258533.368 256679.583  0.72%  60.6 1641s
 1021898 385865     cutoff   50      258533.368 256681.353  0.72%  60.6 1646s
 1025084 386953 258186.825   63 1466 258533.368 256683.688  0.72%  60.6 1650s
 1029691 388312 258044.948   62  936 258533.368 256686.831  0.71%  60.6 1656s
 1032816 389286 258010.004   53 1464 258533.368 256688.647  0.71%  60.6 1661s
 1035929 390277     cutoff   60      258533.368 256690.273  0.71%  60.6 1666s
 1039092 391178 258154.705   59  869 258533.368 256692.443  0.71%  60.6 1670s
 1043790 392623     cutoff   68      258533.368 256695.738  0.71%  60.7 1676s
 1046699 393690     cutoff   56      258533.368 256697.521  0.71%  60.7 1680s
 1049860 394632 258393.981   57 1122 258533.368 256699.335  0.71%  60.7 1685s
