 682416 407117 173422.271   97  406 176758.849 170837.639  3.35%   9.9  260s
 698045 416863 176673.332  102  307 176758.849 170860.526  3.34%   9.9  265s
 712320 426923 172125.714   90  423 176758.849 170881.729  3.32%   9.9  270s
 724468 434132 175228.272   96  406 176758.849 170896.859  3.32%   9.9  275s
 738131 444709 171517.335   76  453 176758.849 170918.589  3.30%   9.9  280s
 754084 453396 172485.536   80  439 176758.849 170940.335  3.29%  10.0  285s
 768259 463430 175654.682   76  434 176758.849 170958.318  3.28%  10.0  290s
 781982 472350 172353.917   61  452 176758.849 170977.570  3.27%  10.0  295s
 795433 480589     cutoff   76      176758.849 170995.091  3.26%  10.0  300s
 808098 489294 175933.693   73  368 176758.849 171008.557  3.25%  10.0  305s
 821929 498710 172524.178   68  326 176758.849 171026.941  3.24%  10.0  310s
 837363 508268 175935.981   98  319 176758.849 171047.579  3.23%  10.0  315s
 851873 518474 175156.810   77  361 176758.849 171067.328  3.22%  10.0  320s
 866022 526744 175226.314   97  279 176758.849 171084.930  3.21%  10.0  325s
 880749 536906 174070.222   90  342 176758.849 171103.407  3.20%  10.1  330s
 895173 545713     cutoff   77      176758.849 171118.654  3.19%  10.1  335s
 905671 552316 175629.428   81  453 176758.849 171130.256  3.18%  10.1  340s
 919180 561465 175309.067   81  319 176758.849 171143.366  3.18%  10.1  345s
 932437 569890 172343.683   76  413 176758.849 171160.709  3.17%  10.1  350s
 947651 579594 176367.362   79  327 176758.849 171176.106  3.16%  10.1  355s
 962732 588395 173890.401   69  412 176758.849 171194.427  3.15%  10.1  360s
 976416 598787 175009.940   80  549 176758.849 171209.649  3.14%  10.1  365s
 991631 606876 175454.118   74  614 176758.849 171225.635  3.13%  10.1  370s
 1006549 616794 173992.918   69  414 176758.849 171240.510  3.12%  10.1  375s
 1019660 626236     cutoff   91      176758.849 171252.144  3.12%  10.2  380s
 1033561 635703 176731.529   95  364 176758.849 171263.609  3.11%  10.2  385s
 1047020 645172 infeasible  121      176758.849 171276.500  3.10%  10.2  390s
 1059609 652563 176734.592   99  277 176758.849 171287.838  3.10%  10.2  395s
 1074084 661506     cutoff   74      176758.849 171301.750  3.09%  10.2  400s
 1086922 670186 173216.930   71  446 176758.849 171312.981  3.08%  10.2  405s
 1100905 678565 174911.538  112  306 176758.849 171326.081  3.07%  10.2  410s
H1106588 681402                    176758.84896 171330.528  3.07%  10.2  414s
H1106593 681402                    176758.84874 171330.528  3.07%  10.2  414s
H1106597 681402                    176758.84872 171330.528  3.07%  10.2  414s
 1107311 682397     cutoff  116      176758.849 171330.767  3.07%  10.2  415s
 1119028 690988 175672.555   76  367 176758.849 171339.781  3.07%  10.2  420s
 1134596 700735 171626.749   82  454 176758.849 171352.243  3.06%  10.2  425s
 1148742 709257 176407.814  104  374 176758.849 171363.312  3.05%  10.2  430s
 1162743 717729 175022.741   77  425 176758.849 171376.591  3.04%  10.2  435s
 1176412 727107 176144.640   98  370 176758.849 171388.643  3.04%  10.2  440s
 1192329 737314 172001.755   76  461 176758.849 171400.140  3.03%  10.2  445s
H1196208 738942                    176758.84467 171403.203  3.03%  10.2  447s
 1202157 743798 176572.234   69  681 176758.845 171408.280  3.03%  10.2  450s
 1215262 752761     cutoff   58      176758.845 171418.495  3.02%  10.2  455s
 1230763 762302 174652.464   80  491 176758.845 171429.428  3.02%  10.2  460s
 1244897 770496 175725.375  107  405 176758.845 171439.719  3.01%  10.2  465s
 1257325 778442 176218.085   97  334 176758.845 171448.741  3.00%  10.2  470s
 1269656 786871 176396.616   94  295 176758.845 171457.554  3.00%  10.2  475s
 1285309 796606 173668.581   72  528 176758.845 171469.303  2.99%  10.2  480s
 1300174 805599     cutoff   64      176758.845 171481.095  2.99%  10.2  485s
 1314349 815334 176195.253   76  475 176758.845 171490.799  2.98%  10.2  490s

Cutting planes:
  Gomory: 50
  Implied bound: 2
  Projected implied bound: 3
  MIR: 114
  StrongCG: 2
  Flow cover: 58

Explored 1324093 nodes (13553213 simplex iterations) in 493.05 seconds (892.74 work units)
Thread count was 10 (of 10 available processors)

Solution count 10: 176759 176759 176759 ... 177034

Solve interrupted
Warning: max constraint violation (3.6419e-03) exceeds tolerance
Warning: max general constraint violation (3.6419e-03) exceeds tolerance
  Piecewise linearization of function constraints often causes big violation.
  Try to adjust the settings of the related parameters, such as FuncPieces.
Best objective 1.767588446673e+05, best bound 1.714968172941e+05, gap 2.9770%

User-callback calls 2696704, time in user-callback 4.60 sec
 ----------------------------------------
Time to run:, 494.246701002121 ,seconds
The value of the objective using Gurobi is, 176758.84 
Manuf_0001 , 0.0 , 3 , 3.0
Trans_0001 , 3.0 , 3 , 6.0
Manuf_0002 , 6.0 , 3 , -0.0
Manuf_0006 , 0.0 , 5 , -0.0
Manuf_0022 , 0.0 , 4 , 4.0
Manuf_0003 , -0.0 , 4 , 4.0
Manuf_0014 , 4.0 , 4 , 8.0
Manuf_0004 , -0.0 , 3 , 3.0
Manuf_0015 , 3.0 , 3 , 6.0
Manuf_0005 , -0.0 , 4 , 4.0
Manuf_0016 , 4.0 , 4 , 8.0
Manuf_0020 , 0.0 , 4 , 4.0
Manuf_0021 , 0.0 , 5 , 5.0
Trans_0016 , 3.0 , 4 , 7.0
Manuf_0007 , -0.0 , 6 , 6.0
Trans_0006 , 6.0 , 3 , 2.0
Manuf_0008 , -0.0 , 5 , 4.0
Trans_0023 , 4.0 , 3 , 7.0
Manuf_0009 , -0.0 , 5 , 5.0
Trans_0024 , 5.0 , 3 , 7.0
Manuf_0010 , -0.0 , 4 , 0.0
Manuf_0025 , 0.0 , 4 , 4.0
Manuf_0011 , -0.0 , 4 , 4.0
Trans_0007 , 4.0 , 4 , 2.0
Manuf_0012 , 0.0 , 2 , 2.0
Trans_0008 , 2.0 , 3 , 2.0
Manuf_0013 , -0.0 , 4 , 4.0
Trans_0009 , 4.0 , 4 , 2.0
Trans_0010 , 8.0 , 4 , 4.0
Trans_0011 , 6.0 , 3 , 2.0
Trans_0012 , 8.0 , 3 , 4.0
Manuf_0017 , 0.0 , 4 , 4.0
Trans_0013 , 4.0 , 3 , 4.0
Manuf_0018 , 0.0 , 3 , 3.0
Trans_0014 , 3.0 , 3 , 2.0
Manuf_0019 , -0.0 , 3 , 1.0
Trans_0015 , 1.0 , 3 , 4.0
Trans_0017 , 4.0 , 3 , 7.0
Trans_0018 , 5.0 , 3 , 7.0
Trans_0019 , 4.0 , 3 , 7.0
Manuf_0023 , -0.0 , 3 , 3.0
Trans_0021 , 3.0 , 3 , 6.0
Manuf_0024 , -0.0 , 5 , 4.0
Trans_0022 , 4.0 , 3 , 7.0
Trans_0026 , 4.0 , 3 , 7.0
Manuf_0026 , -0.0 , 5 , 5.0
Trans_0027 , 5.0 , 3 , 7.0
Manuf_0027 , -0.0 , 5 , 5.0
Trans_0028 , 5.0 , 2 , 7.0
Manuf_0028 , -0.0 , 5 , 5.0
Trans_0030 , 5.0 , 3 , 7.0
Manuf_0029 , -0.0 , 5 , 5.0
Trans_0031 , 5.0 , 3 , 7.0
Manuf_0030 , 1.0 , 5 , 6.0
Trans_0033 , 6.0 , 4 , 7.0
Manuf_0031 , 1.0 , 4 , 5.0
Trans_0034 , 5.0 , 2 , 7.0
Manuf_0032 , 1.0 , 4 , 5.0
Trans_0035 , 5.0 , 2 , 7.0
Manuf_0033 , 3.0 , 2 , 5.0
Trans_0037 , 5.0 , 2 , 7.0
Manuf_0034 , 1.0 , 2 , 3.0
Trans_0039 , 3.0 , 4 , 7.0
Manuf_0035 , -0.0 , 3 , 3.0
Trans_0040 , 3.0 , 3 , 2.0
Manuf_0036 , -0.0 , 3 , 3.0
Trans_0041 , 3.0 , 4 , 2.0
Manuf_0037 , -0.0 , 4 , 4.0
Trans_0042 , 4.0 , 4 , 2.0
Manuf_0038 , 0 , 2 , 2.0
Manuf_0042 , 2.0 , 5 , 7.0
Manuf_0044 , 2.0 , 5 , 7.0
Manuf_0046 , 2.0 , 5 , 7.0
Manuf_0047 , 2.0 , 5 , 7.0
Manuf_0039 , 1.0 , 6 , 7.0
Manuf_0052 , 7.0 , 4 , 11.0
Manuf_0053 , 7.0 , 3 , 10.0
Manuf_0040 , 2.0 , 5 , 7.0
Manuf_0056 , 7.0 , 6 , 13.0
Manuf_0041 , 4.0 , 3 , 7.0
Manuf_0054 , 7.0 , 5 , 12.0
Manuf_0055 , 7.0 , 5 , 12.0
Manuf_0043 , 4.0 , 3 , 7.0
Manuf_0045 , 2.0 , 5 , 7.0
Manuf_0048 , 2.0 , 5 , 7.0
Manuf_0049 , 2.0 , 5 , 7.0
Manuf_0050 , 2.0 , 5 , 7.0
Manuf_0051 , 4.0 , 3 , 7.0
Dist_0001 , 11.0 , 5 , 0.0
Dist_0002 , 11.0 , 6 , 0.0
Dist_0003 , 11.0 , 5 , 0.0
Dist_0004 , 10.0 , 3 , 0.0
Dist_0005 , 10.0 , 4 , 0.0
Dist_0006 , 10.0 , 5 , 0.0
Dist_0007 , 12.0 , 8 , 0.0
Dist_0008 , 12.0 , 5 , 0.0
Dist_0009 , 12.0 , 4 , 0.0
Dist_0010 , 12.0 , 5 , 0.0
Dist_0011 , 12.0 , 4 , 0.0
Dist_0012 , 12.0 , 5 , 0.0
Dist_0013 , 13.0 , 6 , 0.0
Dist_0014 , 13.0 , 5 , 0.0
Dist_0015 , 13.0 , 9 , 0.0
Part_0001 , 0 , 4 , -0.0
Part_0002 , 0 , 4 , 4.0
Part_0003 , 0 , 4 , 1.0
Trans_0002 , 1.0 , 3 , -0.0
Part_0004 , 0 , 2 , -0.0
Part_0005 , 0 , 3 , 0.0
Trans_0003 , 0.0 , 3 , 0.0
Part_0006 , 0 , 65 , -0.0
Trans_0020 , -0.0 , 4 , 4.0
Part_0007 , 0 , 85 , -0.0
Trans_0025 , -0.0 , 5 , 5.0
Part_0008 , 0 , 85 , -0.0
Trans_0029 , -0.0 , 5 , 5.0
Part_0009 , 0 , 99 , -0.0
Trans_0032 , -0.0 , 5 , 5.0
Part_0010 , 0 , 2 , 1.0
Trans_0004 , 1.0 , 4 , 3.0
Part_0011 , 0 , 4 , -0.0
Part_0012 , 0 , 2 , 0.0
Part_0013 , 0 , 3 , 3.0
Part_0014 , 0 , 4 , -0.0
Trans_0005 , -0.0 , 4 , 1.0
Part_0015 , 0 , 97 , 1.0
Trans_0036 , 1.0 , 5 , 6.0
Part_0016 , 0 , 4 , 1.0
Part_0017 , 0 , 3 , -0.0
Part_0018 , 0 , 2 , 1.0
Part_0019 , 0 , 4 , 3.0
Trans_0038 , 3.0 , 4 , 7.0
Part_0020 , 0 , 3 , 3.0
Part_0021 , 0 , 4 , 4.0
Part_0022 , 0 , 2 , 2.0
Part_0023 , 0 , 4 , 2.0
Part_0024 , 0 , 3 , 2.0
Part_0025 , 0 , 3 , 2.0
Part_0026 , 0 , 3 , 2.0
Part_0027 , 0 , 3 , 2.0
Part_0028 , 0 , 4 , 2.0
Part_0029 , 0 , 2 , 2.0
Part_0030 , 0 , 17 , 7.0
Part_0031 , 0 , 2 , 2.0
Part_0032 , 0 , 2 , 2.0
Part_0033 , 0 , 3 , 3.0
Part_0034 , 0 , 3 , 3.0
Part_0035 , 0 , 3 , 3.0
Part_0036 , 0 , 4 , 4.0
Part_0037 , 0 , 3 , 3.0
Part_0038 , 0 , 4 , 4.0
Part_0039 , 0 , 3 , 3.0
Part_0040 , 0 , 3 , 3.0
Part_0041 , 0 , 3 , 3.0
Part_0042 , 0 , 4 , 4.0
Part_0043 , 0 , 2 , 2.0
